#SampleID	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	d__Bacteria;p__Bacteroidota;c__Bacteroidia	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	d__Bacteria;p__Latescibacterota;c__Latescibacterota	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae	d__Bacteria;p__Chloroflexi;c__Anaerolineae	d__Bacteria;p__Chloroflexi;c__Chloroflexia	d__Bacteria;p__Myxococcota;c__bacteriap25	d__Bacteria;p__Patescibacteria;c__Saccharimonadia	d__Bacteria;p__Myxococcota;c__Myxococcia	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia	d__Bacteria;p__Firmicutes;c__Bacilli	d__Bacteria;p__Nitrospirota;c__Nitrospiria	d__Bacteria;p__Chloroflexi;c__TK10	d__Bacteria;p__Acidobacteriota;c__Blastocatellia	d__Bacteria;p__Chloroflexi;c__Ktedonobacteria	d__Bacteria;p__Actinobacteriota;c__Actinobacteria	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia	d__Bacteria;p__Bacteroidota;c__Kapabacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia	d__Bacteria;p__Myxococcota;c__Polyangia	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia	d__Bacteria;p__Planctomycetota;c__Phycisphaerae	d__Bacteria;p__Acidobacteriota;c__Holophagae	d__Bacteria;p__Gemmatimonadota;c__S0134_terrestrial_group	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes	d__Bacteria;p__Chloroflexi;c__KD4-96	d__Bacteria;p__Gemmatimonadota;c__Longimicrobia	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia	d__Bacteria;p__Actinobacteriota;c__MB-A2-108	d__Bacteria;p__Acidobacteriota;c__Subgroup_5	d__Bacteria;p__Chloroflexi;c__Gitt-GS-136	d__Bacteria;p__Entotheonellaeota;c__Entotheonellia	d__Bacteria;p__Gemmatimonadota;c__AKAU4049	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia	d__Bacteria;p__Chloroflexi;c__Dehalococcoidia	d__Bacteria;p__Desulfobacterota;c__uncultured	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia	d__Bacteria;p__NB1-j;c__NB1-j	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria	d__Bacteria;p__Patescibacteria;c__Berkelbacteria	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria	d__Bacteria;p__Patescibacteria;c__Parcubacteria	d__Bacteria;p__Chloroflexi;c__OLB14	d__Bacteria;p__Firmicutes;c__Clostridia	d__Bacteria;p__Gemmatimonadota;c__BD2-11_terrestrial_group	d__Bacteria;p__Planctomycetota;c__Planctomycetes	d__Bacteria;p__Dependentiae;c__Babeliae	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia	d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B)	d__Bacteria;p__Acidobacteriota;c__Subgroup_25	d__Bacteria;p__Planctomycetota;c__Pla4_lineage	d__Bacteria;p__Acidobacteriota;c__Subgroup_11	d__Bacteria;p__Acidobacteriota;c__Subgroup_22	d__Bacteria;p__Cyanobacteria;c__Sericytochromatia	d__Bacteria;p__Abditibacteriota;c__Abditibacteria	d__Bacteria;p__Sumerlaeota;c__Sumerlaeia	d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia	d__Bacteria;p__Patescibacteria;c__Gracilibacteria	d__Bacteria;p__MBNT15;c__MBNT15	d__Bacteria;p__Spirochaetota;c__Leptospirae	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa	d__Bacteria;p__Planctomycetota;c__OM190	d__Bacteria;p__Acidobacteriota;c__Subgroup_21	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia	d__Bacteria;p__Patescibacteria;c__uncultured	d__Bacteria;p__Bacteroidota;c__Rhodothermia	d__Bacteria;p__Latescibacterota;c__Latescibacteria	d__Bacteria;p__Chloroflexi;c__P2-11E	d__Bacteria;p__FCPU426;c__FCPU426	d__Bacteria;p__Firmicutes;c__Symbiobacteriia	d__Bacteria;p__Acidobacteriota;c__Subgroup_18	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia	d__Bacteria;p__WS2;c__WS2	d__Bacteria;p__Spirochaetota;c__Spirochaetia	d__Bacteria;p__Patescibacteria;c__Microgenomatia	d__Bacteria;p__Deinococcota;c__Deinococci	d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia	d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66	d__Bacteria;p__Rs-K70_termite_group;c__Rs-K70_termite_group	d__Bacteria;p__WPS-2;c__WPS-2	d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc	d__Bacteria;p__Patescibacteria;c__WWE3	d__Bacteria;p__Planctomycetota;c__Pla3_lineage	d__Bacteria;p__Patescibacteria;c__Dojkabacteria	d__Bacteria;p__Planctomycetota;c__vadinHA49	d__Bacteria;p__Bacteroidota;c__Ignavibacteria	d__Bacteria;p__Acidobacteriota;c__Subgroup_20	d__Bacteria;p__Firmicutes;c__Negativicutes	d__Bacteria;p__RCP2-54;c__RCP2-54
SRR6764340	1795.0	3370.0	2104.0	2522.0	728.0	37.0	973.0	301.0	253.0	486.0	77.0	439.0	127.0	2211.0	274.0	0.0	1606.0	157.0	1002.0	146.0	106.0	224.0	320.0	0.0	12.0	196.0	305.0	104.0	595.0	216.0	0.0	22.0	45.0	0.0	49.0	100.0	38.0	193.0	131.0	0.0	0.0	135.0	0.0	42.0	0.0	0.0	0.0	115.0	21.0	29.0	25.0	9.0	15.0	0.0	0.0	0.0	0.0	38.0	61.0	0.0	9.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764341	634.0	3348.0	3675.0	4945.0	1203.0	0.0	525.0	96.0	103.0	76.0	449.0	230.0	180.0	313.0	175.0	0.0	1121.0	12.0	1134.0	84.0	109.0	0.0	994.0	0.0	33.0	202.0	37.0	44.0	82.0	84.0	332.0	45.0	0.0	0.0	0.0	13.0	0.0	13.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	427.0	37.0	30.0	311.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0
SRR6764342	1629.0	4209.0	5278.0	4629.0	1071.0	0.0	261.0	138.0	140.0	147.0	552.0	120.0	113.0	648.0	184.0	125.0	871.0	55.0	1367.0	125.0	198.0	0.0	1160.0	0.0	16.0	167.0	116.0	170.0	269.0	198.0	69.0	113.0	24.0	0.0	91.0	13.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	116.0	62.0	57.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	50.0	0.0	16.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764344	1204.0	2355.0	2871.0	3276.0	660.0	0.0	774.0	433.0	150.0	399.0	248.0	248.0	0.0	780.0	361.0	0.0	1575.0	85.0	728.0	0.0	213.0	27.0	236.0	0.0	23.0	0.0	238.0	141.0	444.0	0.0	0.0	67.0	0.0	0.0	0.0	69.0	0.0	139.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764345	45.0	1856.0	3009.0	5194.0	592.0	0.0	45.0	28.0	18.0	0.0	781.0	175.0	53.0	675.0	90.0	0.0	745.0	14.0	669.0	0.0	146.0	0.0	212.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	33.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764346	930.0	1183.0	1410.0	2520.0	652.0	0.0	544.0	166.0	47.0	214.0	127.0	134.0	115.0	569.0	200.0	5.0	1075.0	43.0	498.0	37.0	66.0	30.0	98.0	0.0	66.0	38.0	116.0	0.0	236.0	107.0	0.0	28.0	0.0	0.0	0.0	40.0	0.0	6.0	55.0	0.0	0.0	39.0	0.0	26.0	0.0	0.0	0.0	20.0	0.0	0.0	5.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764347	27.0	864.0	2247.0	3960.0	363.0	0.0	19.0	0.0	0.0	0.0	664.0	0.0	0.0	719.0	0.0	0.0	602.0	6.0	610.0	0.0	111.0	0.0	71.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764348	0.0	1504.0	2403.0	4216.0	507.0	0.0	221.0	0.0	0.0	0.0	588.0	0.0	0.0	364.0	26.0	0.0	787.0	14.0	656.0	0.0	135.0	0.0	106.0	0.0	14.0	0.0	0.0	0.0	0.0	32.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764351	1259.0	1760.0	1715.0	2512.0	729.0	0.0	710.0	280.0	78.0	306.0	0.0	277.0	0.0	821.0	193.0	0.0	1124.0	113.0	658.0	46.0	64.0	45.0	263.0	0.0	5.0	50.0	178.0	20.0	282.0	128.0	0.0	84.0	0.0	0.0	68.0	116.0	0.0	0.0	87.0	0.0	0.0	71.0	8.0	0.0	0.0	55.0	0.0	0.0	23.0	23.0	0.0	0.0	0.0	0.0	34.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764352	960.0	2084.0	1990.0	2691.0	625.0	0.0	405.0	263.0	145.0	303.0	139.0	288.0	0.0	1232.0	224.0	0.0	802.0	30.0	844.0	0.0	63.0	39.0	244.0	0.0	0.0	111.0	176.0	24.0	446.0	129.0	0.0	134.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	70.0	0.0	26.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764354	1654.0	2454.0	2136.0	1859.0	1975.0	0.0	682.0	395.0	640.0	437.0	148.0	260.0	530.0	518.0	269.0	69.0	1666.0	471.0	1522.0	204.0	130.0	37.0	11.0	0.0	51.0	110.0	231.0	297.0	822.0	248.0	0.0	71.0	0.0	0.0	192.0	51.0	42.0	141.0	0.0	0.0	0.0	107.0	8.0	38.0	0.0	29.0	0.0	42.0	0.0	17.0	77.0	0.0	90.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764355	1778.0	2013.0	3466.0	2939.0	1515.0	65.0	604.0	486.0	392.0	334.0	41.0	419.0	42.0	591.0	278.0	129.0	1659.0	117.0	963.0	178.0	179.0	18.0	647.0	0.0	0.0	143.0	396.0	117.0	1223.0	258.0	83.0	158.0	0.0	57.0	0.0	147.0	37.0	0.0	165.0	0.0	74.0	214.0	0.0	0.0	0.0	86.0	0.0	67.0	5.0	23.0	20.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764356	1684.0	1134.0	2147.0	2429.0	1276.0	39.0	957.0	155.0	192.0	269.0	103.0	81.0	62.0	531.0	301.0	0.0	1716.0	55.0	645.0	50.0	139.0	0.0	56.0	0.0	0.0	132.0	299.0	108.0	971.0	179.0	114.0	67.0	38.0	238.0	0.0	27.0	0.0	19.0	109.0	0.0	0.0	196.0	11.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	23.0	0.0	58.0	0.0	0.0	105.0	0.0	31.0	0.0	0.0	0.0	13.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764357	1686.0	2245.0	1941.0	1978.0	1577.0	14.0	158.0	335.0	494.0	258.0	121.0	223.0	277.0	739.0	209.0	0.0	1836.0	336.0	1296.0	144.0	90.0	55.0	51.0	0.0	21.0	113.0	256.0	315.0	422.0	310.0	40.0	6.0	76.0	45.0	122.0	38.0	0.0	0.0	126.0	0.0	0.0	100.0	0.0	75.0	0.0	34.0	0.0	25.0	0.0	0.0	84.0	0.0	59.0	0.0	74.0	0.0	0.0	0.0	18.0	0.0	0.0	9.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764359	1966.0	1725.0	2411.0	2370.0	1421.0	22.0	582.0	441.0	19.0	307.0	104.0	242.0	88.0	469.0	207.0	32.0	1879.0	44.0	320.0	86.0	95.0	0.0	377.0	0.0	34.0	292.0	407.0	127.0	1233.0	162.0	0.0	41.0	39.0	168.0	0.0	80.0	31.0	0.0	78.0	0.0	0.0	153.0	0.0	0.0	0.0	0.0	17.0	67.0	0.0	64.0	27.0	0.0	0.0	0.0	83.0	0.0	0.0	37.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764360	2460.0	3287.0	3242.0	3264.0	1399.0	25.0	474.0	378.0	265.0	227.0	109.0	317.0	0.0	1023.0	330.0	67.0	1735.0	111.0	887.0	46.0	126.0	0.0	487.0	0.0	35.0	157.0	423.0	154.0	1115.0	247.0	93.0	23.0	100.0	113.0	63.0	128.0	83.0	26.0	111.0	0.0	28.0	196.0	17.0	0.0	0.0	0.0	5.0	88.0	8.0	50.0	60.0	0.0	33.0	0.0	0.0	0.0	0.0	23.0	36.0	0.0	0.0	0.0	21.0	62.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764361	1795.0	1103.0	1777.0	2302.0	1078.0	37.0	487.0	334.0	113.0	446.0	58.0	218.0	0.0	325.0	313.0	0.0	1462.0	81.0	573.0	43.0	48.0	32.0	392.0	0.0	19.0	206.0	238.0	146.0	765.0	140.0	0.0	0.0	0.0	185.0	0.0	27.0	23.0	77.0	84.0	0.0	25.0	0.0	0.0	0.0	14.0	26.0	9.0	55.0	0.0	50.0	18.0	0.0	31.0	0.0	55.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	50.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764362	67.0	2520.0	2423.0	3912.0	616.0	0.0	62.0	0.0	168.0	0.0	226.0	57.0	0.0	115.0	0.0	0.0	221.0	48.0	1660.0	0.0	0.0	0.0	1042.0	0.0	0.0	23.0	0.0	82.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764363	1898.0	2068.0	1518.0	1884.0	1200.0	10.0	423.0	387.0	443.0	257.0	193.0	221.0	291.0	540.0	304.0	0.0	1502.0	290.0	1244.0	48.0	59.0	384.0	44.0	0.0	72.0	138.0	156.0	308.0	685.0	208.0	39.0	0.0	68.0	96.0	148.0	76.0	33.0	0.0	0.0	0.0	26.0	109.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	27.0	200.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764364	1319.0	1714.0	1875.0	1632.0	955.0	0.0	254.0	398.0	357.0	245.0	235.0	162.0	350.0	868.0	293.0	0.0	1505.0	283.0	1298.0	0.0	80.0	0.0	0.0	0.0	76.0	0.0	142.0	76.0	325.0	246.0	0.0	21.0	0.0	0.0	108.0	29.0	0.0	0.0	113.0	0.0	0.0	56.0	0.0	53.0	0.0	44.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764365	1663.0	1677.0	2629.0	3217.0	1293.0	0.0	306.0	553.0	135.0	387.0	118.0	287.0	59.0	437.0	212.0	0.0	1433.0	40.0	896.0	0.0	79.0	22.0	365.0	0.0	83.0	161.0	408.0	0.0	672.0	166.0	0.0	0.0	0.0	121.0	0.0	122.0	0.0	35.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	11.0	69.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764366	1604.0	2634.0	2114.0	1570.0	505.0	0.0	222.0	469.0	262.0	374.0	46.0	349.0	68.0	1001.0	247.0	12.0	825.0	89.0	1137.0	84.0	63.0	5.0	224.0	0.0	25.0	74.0	301.0	23.0	413.0	247.0	16.0	0.0	0.0	0.0	0.0	149.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	42.0	0.0	33.0	62.0	0.0	14.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764367	62.0	1880.0	2318.0	3875.0	527.0	0.0	0.0	0.0	79.0	0.0	276.0	81.0	41.0	111.0	0.0	0.0	250.0	31.0	1574.0	0.0	0.0	0.0	597.0	0.0	0.0	0.0	0.0	23.0	18.0	0.0	0.0	95.0	0.0	0.0	16.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764368	1933.0	2875.0	3092.0	1893.0	707.0	37.0	657.0	330.0	77.0	223.0	69.0	258.0	48.0	1089.0	227.0	50.0	1104.0	96.0	782.0	0.0	32.0	145.0	202.0	0.0	41.0	210.0	214.0	308.0	405.0	201.0	14.0	19.0	0.0	0.0	0.0	125.0	54.0	0.0	148.0	0.0	18.0	181.0	14.0	0.0	0.0	92.0	0.0	0.0	14.0	34.0	0.0	0.0	37.0	0.0	88.0	33.0	0.0	22.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764369	2176.0	2510.0	3174.0	2243.0	563.0	0.0	418.0	426.0	359.0	321.0	137.0	236.0	20.0	1075.0	294.0	24.0	1216.0	123.0	652.0	187.0	86.0	18.0	407.0	0.0	23.0	0.0	236.0	84.0	629.0	161.0	0.0	0.0	0.0	0.0	0.0	75.0	20.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	34.0	0.0	0.0	0.0	37.0	0.0	0.0	9.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764370	2553.0	2783.0	2594.0	2287.0	1032.0	0.0	601.0	219.0	335.0	381.0	183.0	472.0	44.0	1392.0	252.0	9.0	1688.0	203.0	892.0	76.0	76.0	25.0	323.0	0.0	24.0	172.0	401.0	170.0	685.0	201.0	0.0	54.0	0.0	0.0	101.0	45.0	0.0	16.0	142.0	0.0	41.0	87.0	0.0	0.0	0.0	49.0	0.0	78.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764372	2051.0	2089.0	2488.0	2701.0	1193.0	0.0	623.0	430.0	179.0	487.0	227.0	392.0	73.0	1161.0	298.0	49.0	1084.0	161.0	833.0	40.0	92.0	77.0	678.0	0.0	0.0	193.0	235.0	31.0	842.0	314.0	204.0	0.0	0.0	0.0	0.0	123.0	56.0	16.0	0.0	0.0	0.0	140.0	12.0	0.0	9.0	0.0	7.0	39.0	13.0	28.0	57.0	0.0	0.0	0.0	51.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR6764373	2528.0	3679.0	2986.0	3318.0	1592.0	0.0	591.0	644.0	808.0	643.0	296.0	505.0	519.0	2811.0	365.0	0.0	1441.0	395.0	2438.0	125.0	103.0	60.0	511.0	0.0	61.0	0.0	151.0	298.0	496.0	317.0	0.0	121.0	96.0	0.0	156.0	173.0	0.0	313.0	181.0	0.0	36.0	116.0	28.0	92.0	0.0	0.0	0.0	99.0	51.0	40.0	123.0	0.0	50.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	30.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
